,Inv Item,Labels,Text
4978,ARC-227303,Telematics,ENBASE WIRE ELECTRIC CONNECTOR 1' LG
4979,ARC-226963,Misc,TIF INDUSTRIES DETECTOR GAS MULTI COMBUSTIBLE GAS
4980,ARC-217280,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD NYX PLATES 105CRE ARIEL CORP. KB4920T
4981,ARC-238399,Gasket - Misc,IPD GASKET HOUSING REGULATOR CORK G3304/G3306 IPD 7N0944
4982,ARC-198799,Misc,CATERPILLAR NUT LOCK CATERPILLAR 6B5150
4983,ARC-228262,Misc,FISHER ORIFICE 1/2 DIA BRASS S201 FISHER 0W018114012
4984,ARC-227388,Plug,EXTECH INSTRUMENTS PLUG PIPE MECHANICAL 1 SHIPPING GRAINGER# 2HCF1 EXTECH INSTRUMENTS 269875
4985,ARC-246435,Plug,PLUGS PLUG HEADER BRASS FOR COOLER DIAMETER: 5/8 IN PLUGS COOLERPLUGS
4986,ARC-178538,Piston - Compressor - Ring ,ARIEL CORP. RING PISTON UNLOADER 9-1/2 DIA COMPRESSOR ARIEL CORP. A0478
4987,ARC-173380,Piston - Engine - Ring,COOPER-AJAX RING PISTON POWER 8-1/2 DIA COMPRESSOR COOPER-AJAX A2943B
4988,ARC-178690,Misc,ARIEL CORP. SPROCKET ROLLER CHAIN 30 TOOTH ARIEL CORP. A0765
4989,ARC-200028,Misc,CATERPILLAR TUBE CATERPILLAR 7E1562
4990,ARC-213425,Gasket - Misc,CATERPILLAR GASKET INTEGRAL 3406 CATERPILLAR 1293948
4991,ARC-182408,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION 52RX REBUILT ARIEL CORP. B0812E
4992,ARC-172941,Misc,AMERICAN INDUSTRIAL COMPONENTS RAW MATERIAL 6 X 4 TEFLON AMERICAN INDUSTRIAL COMPONENTS 6X4CFT
4993,ARC-243664,Misc,MURPHY DAMPER PULSATION 1/4 FNPT X 1/4 FNPT 3000 PSI BRASS MURPHY 55700204
4994,ARC-245508,Hose,PARKER HANNIFIN FITTING HOSE SWIVEL STRAIGHT 1 CRIMP HOSE 1 FJIC STL
4995,ARC-245763,Fitting,PARKER HANNIFIN TUBE CONNECTOR ELBOW 1/4 COMP X 1/2 FNPT 316 SS
4996,ARC-213210,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REPAIR SUCTION MTX PLATES 105CRE ALSO REPLACES KB4920UX ARIEL CORP. KB4920U
4997,ARC-169526,Compressor Valve - Rebuild Kit,SAMCO KIT COMPRESSOR VALVE REBUILD SUCTION AFTERMARKETFITS GEMINI COMPRESSOR SAMCO KT4271855
4998,ARC-187692,Misc,ARROW ENGINE NUT JAM PLAIN FINISH
4999,ARC-180201,Piston - Compressor - Ring ,ARIEL CORP. RING PISTON 13 DIA JG:J ARIEL CORP. A3434
5000,ARC-268856,Seal - Engine,CATERPILLAR SEAL O-RING CATERPILLAR 2697885
5001,ARC-198467,Valve - Control,CATERPILLAR VALVE CONTROL PILOT PILOT RELAY CATERPILLAR 5N8862
5002,ARC-243357,Misc,MURPHY EXTENSION FLOAT LS200 MURPHY 15000478
5003,ARC-266917,Misc,MULTIWING FAN HEAT EXCHANGER 32 DIA CLOCKWISE ADJUSTIBLE PITCH MULTIWING 42R158
5004,ARC-198184,Gasket - Engine - Misc,CATERPILLAR GASKET ENGINE METAL PAPER LAYER CATERPILLAR 5L3773
5005,ARC-259493,Gasket - Engine - Valve Cover,WAUKESHA GASKET COVER VALVE CORK WAUKESHA 76423C
5006,ARC-219460,Gasket - Flange,EMIT TECHNOLOGIES GASKET FLANGE FLAT FACE 8 DIA METAL REINFORCED FIBER
5007,ARC-176365,Engine Control Module,ALTRONIC HARNESS WIRE 96 LG UNSHIELDED ALTRONIC 5930412
5008,ARC-231094,Hose,GATES HOSE COOLANT 2 DIA 60 PSI EDPM GREEN STRIPE 2-PLY GATES 24232
5009,ARC-183088,Misc,ARIEL CORP. NUT 3-1/4 THD PLAIN FINISH ARIEL CORP. B1478
5010,ARC-213231,Piston - Compressor,GEMINI PISTON COMPRESSOR 5-1/2 DIA GEMINI 1105773
5011,ARC-171949,Piston - Compressor - Ring ,AFTERMARKET RING PISTON 3 DIA TEFLON DA AFTERMARKET 425124
5012,ARC-169401,Misc,RINGERS GLOVES GLOVES CUT RESIST/IMPACT M GREY/BLACK ELASTIC WRIST CUT LEVEL 2 HI-VIS RINGERS GLOVES 26009
5013,ARC-174254,Valve - Check,COOPER-AJAX VALVE CHECK CHECK SWING COOPER-AJAX BM16659
5014,ARC-181687,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE PEEK PLATES 52RX ARIEL CORP. B0154M
5015,ARC-236894,Misc,IMPCO CARBURETOR 1-3/4 SAE 1/2 FNPT 1.875 DIA FOR CA100 IMPCO CA10046
5016,ARC-221455,Head,CUMMINS HEAD CYLINDER ENGINE K19/38 CUMMINS 4924464D
5017,ARC-186046,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD 88R1 ARIEL CORP. KB0161E
5018,ARC-186759,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD DISCHARGE MTX PLATES 148CT ARIEL CORP. KB2231AA
5019,ARC-182100,Crosshead - Misc,ARIEL CORP. NUT CROSSHEAD 10.4 LB JGRWJ ARIEL CORP. B0316
5020,ARC-226104,Sensor - Engine,CATERPILLAR SENSOR TEMPERATURE
5021,ARC-195559,Misc,CATERPILLAR SHEAVE CATERPILLAR 2N1331
5022,ARC-195419,Misc,CATERPILLAR SPRING HELICAL
5023,ARC-183333,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE PEEK PLATES 42RX ARIEL CORP. B1680P
5024,ARC-216714,Misc,PRECISION INSTRUMENT MANIFOLDS VALVE NEEDLE STRAIGHT GAUGE 1/2 NPS MNPT X FNPT SCREWED BONNET 316L SS BODY PACKED SEAL 10000 PSI @ 200 DEG F T-BAR HANDLE EXTENDED INLET BODY PRECISION INSTRUMENT MANIFOLDS P1M4W4TAXXEL-100
5025,ARC-224024,Misc,CATERPILLAR LIFTER VALVE ASSEMBLY CATERPILLAR 4223884
5026,ARC-205340,Exhaust - Manifold,CUMMINS MANIFOLD EXHAUST FOR 8.3 CUMMINS 4062881
5027,ARC-167677,O-Ring,CUMMINS O-RING SEAL CUMMINS 3090127
5028,ARC-217178,O-Ring,IPD O-RING SEAL #263 IPD 6V3907
5029,ARC-210629,Misc,ENDYN PIN CROSSHEAD ENDYN A3808
5030,ARC-236633,Plug,HUFFMAN PLUG FOR COOLER HEADER DIAMETER: 5/8 IN HUFFMAN TPLL063
5031,ARC-184411,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE MT PLATES 42RX ARIEL CORP. B3688AA
5033,ARC-203810,Battery 12V - Wet,CONTINENTAL BATTERIES BATTERY WET CELL AUTOMOTIVE BCI 27 12VDC 700CCA LEAD ACID TOP POST
5034,ARC-217373,Belt,GATES BELT V LIGHT DUTY 1 BAND 78 LG 0.656 TOP WD 0.406 THK B DIENE POLYESTER CORD GATES B75
5035,ARC-225391,Misc,CATERPILLAR CONNECTOR WATER CATERPILLAR 4N1546
5036,ARC-228488,Misc,FISHER HOLDER DISC FISHER 1C1860000A2
5037,ARC-186996,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD MT PLATES 148CHT ARIEL CORP. KB3077DD
5038,ARC-176495,Power Supply,ALTRONIC POWER SUPPLY 12-24V ALTRONIC 6911801
5039,ARC-211085,Piston - Compressor - Ring,ENDYN RING PISTON RIDER 13 DIA COMPRESSOR ENDYN BM17011B54
5040,ARC-196898,Misc,CATERPILLAR SPRING HELICAL
5041,ARC-238312,Gasket - Misc,IPD GASKET LINE OIL COOLER IPD 6L6580
5042,ARC-269247,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE MTX PLATES 52RX ARIEL COMPRESSOR REBUILT
5043,ARC-194689,Misc,CATERPILLAR COVER AIR CLEANER
5044,ARC-244052,Misc,MURPHY DAMPER PULSATION 1/4 FNPT X 1/2 FNPT 5000 PSI @ 400 DEG F CS MURPHY 55700207
5045,ARC-188531,Gasket - Misc,ARROW ENGINE GASKET OIL PAN WAUK 1197 ARROW ENGINE HW97820
5046,ARC-171801,Gasket - Misc,AFTERMARKET GASKET OIL PUMP G-26 AFTERMARKET 405140
5047,ARC-197122,Misc,CATERPILLAR LUBRICATOR AIR LINE CATERPILLAR 4L3124
5048,ARC-244035,Switch Gauge,MURPHY SWITCHGAUGE PRESSURE 1/2 NPS BOTTOM CONNECTION 0/1000 PSI 0/6.89 MPA OIL SEALED CASE 4-1/2 DIAL NPT 316 STAINLESS STEEL TIP 316 STAINLESS STEEL TUBE INDICATING GAUGE ONLY.   MURPHY OPLFGS1000OS
5049,ARC-236945,Gasket - Misc,IMPCO GASKET OIL RBR IMPCO G111
5050,ARC-181789,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE ARIEL CORP. B0253E
5051,ARC-205763,Belt,DAYCO BELT V HEAVY DUTY 1 BAND 79 LG 0.656 TOP WD 0.406 THK B RBR POLYESTER CORD DAYCO B76
5052,ARC-231294,Belt,GATES BELT V COGGED 1 BAND 112 LG 0.625 TOP WD 0.546 THK 5VX RBR POLYESTER CORD GATES 5VX1120
5053,ARC-240977,Block,LINCOLN BLOCK DISTRIBUTION 6T LINCOLN MC6T
5054,ARC-186435,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD MT PLATES 98CRO ARIEL CORP. KB1412CC
5055,ARC-248869,Compressor Valve - Rebuild Kit,SAMCO KIT COMPRESSOR VALVE REPAIR SAMCO 1009910512
5056,ARC-176085,Motor,ALTRONIC STATOR ALTERNATOR ALTRONIC 371604
5057,ARC-172096,Packing Kit,AFTERMARKET PACKING RING CI BKR 1.375 PRG AFTERMARKET 6PS7521
5058,ARC-178517,Piston - Compressor - Ring ,ARIEL CORP. RING PISTON 8 DIA JGM:SP ARIEL CORP. A0425
5060,ARC-182178,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION 98R1 ARIEL CORP. B0365F
5061,ARC-225545,Fitting,COOPER CROUSE HINDS FITTING CONDUIT CORD GRIP 1/2 NPT ELECTRO GALV STL
5062,ARC-186106,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD PK PLATES 98RX A-003 1O-RING VT 5.895 O.D A-202 26SPRING(.354DX.472 YE A-203 2SPIROL PIN .118D X . A-223 1STL GASKET 5.796 X A-833 1VLV PLT 127CT.177THK ARIEL CORP. KB0260N
5063,ARC-186265,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD 127CT/CGT ARIEL CORP. KB0869L
5064,ARC-186498,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD 70RX ARIEL CORP. KB1508AA
5065,ARC-186762,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REPAIR MT PLATES 148CHT ARIEL CORP. KB2231DD
5066,ARC-174277,Piston - Compressor - Ring,COOPER-AJAX RING PISTON 5-1/4 DIA COMPRESSOR COOPER-AJAX BM17000A49
5067,ARC-167992,Compressor Valve - Discharge,SAMCO VALVE COMPRESSOR CYLINDER DISCHARGE STL BODY GEMINI COMPRESSOR REBUILT SAMCO 4068721
5068,ARC-199146,Gasket - Misc,CATERPILLAR GASKET PAPER 3.56 X 0.062 THK DIMENSIONS: 3.56 X 0.062IN CATERPILLAR 6L5464
5069,ARC-269188,Valve - Relief,MERCER VALVE VALVE RELIEF SPRING DESIGN 600 PSI SET 275 DEG F 3/4 MNPT X 1 FNPT CS/SS BODY 15% GLASS FILLED TEFLON SEAT 17-4 SS DISC 17-4 SS NOZZLE FKM SEAL 275 DEG F 17-7 PH SS SPRING ASME SECTION VIII - DIV 1 MERCER VALVE 9112D51T11E1
5071,ARC-201699,Misc,CATERPILLAR CLAMP 1-1/4 TO 2-1/8 CATERPILLAR 8T4983
5072,ARC-167872,Filter - Coalescer,UNITED FILTRATION SYSTEMS FILTER ELEMENT COALESCER 1.635 ID 2 OD 6 LG
5074,ARC-186232,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD DISCHARGE METAL PLATES 70RX METAL ARIEL CORP. KB0670CC
5075,ARC-173728,Misc,COOPER-AJAX CAPSCREW FERRY 1 THD DIA 3 LG PLAIN FINISH
5076,ARC-233731,Crankshaft - Compressor,GEMINI SHAFT DRIVE LUBRICATOR LUBRICATOR GEMINI 4063626
5077,ARC-173231,Misc,COOPER-AJAX SLINGER OIL COOPER-AJAX A1264A
5078,ARC-198081,Gasket - Misc,CATERPILLAR GASKET PAPER 3.813 X 1/32 THK NON-ASBESTOS CATERPILLAR 5H2730
5079,ARC-199134,Gasket - Misc,CATERPILLAR GASKET PAPER CATERPILLAR 6L5303
5080,ARC-250905,Filter - Misc,TURBO POWER SYSTEMS FILTER ELEMENT FOAM 19 OD 19 LG TPS TURBO POWER SYSTEMS
5081,ARC-195761,Fitting,CATERPILLAR FITTING ELBOW
5082,ARC-259625,Cylinder Liner,WAUKESHA KIT GASKET CYL LINER
5083,ARC-173758,Misc,COOPER-AJAX ROD END BEARING BALL RIGHT HAND COOPER-AJAX BM10879
5084,ARC-234094,O-Ring,GEMINI O-RING COMPRESSOR RBR CYLINDER HEAD GEMINI 425133
5085,ARC-203069,Sparkplug,CHAMPION SPARK PLUG SPARKPLUG 217 STD GAP CHAMPION SPARK PLUG RM77PP
5086,ARC-183320,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION PEEK PLATES 42RX REBUILT ARIEL CORP. B1679N
5087,ARC-195760,Fitting,CATERPILLAR FITTING ELBOW 3306
5088,ARC-249537,Fitting,SSP TUBE CONNECTOR ELBOW 3/8 COMP X 1/2 MNPT 316 SS DUOLOK SSP D6ME8
5089,ARC-233960,Misc,GEMINI GEAR HELICAL HELICAL GEMINI 4094020
5090,ARC-186207,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD 52RX ARIEL CORP. KB0334G
5091,ARC-253385,Packing Kit,TRIGON PACKING TRIGON 25015103D
5092,ARC-243242,Relay,MURPHY RELAY SOLID STATE 60VDC 5A CONTROL OPTO 22 DC60S5 MURPHY 00003985
5093,ARC-243478,Switch - Misc,MURPHY SWITCH MAGNETIC INDICATOR TATTLETALE MODEL MS2100 MURPHY 25700415
5094,ARC-251745,Valve - Relief,TAYLOR VALVE RELIEF CONVENTIONAL SPRING DESIGN 275 PSI SET 226 TO 450 PSI 1 MNPT X 1 FNPT CS BODY 17-4 SS DISC FKM SEAL -15 DEG F TO 400 DEG F CLOSED CAP SS SPRING ASME SECTION VIII - DIV 1 TAYLOR 82E5351311
5095,ARC-200387,Misc,CATERPILLAR CLAMP TURBOCHARGER CATERPILLAR 7M9917
5096,ARC-209813,Block,DROPSA BLOCK DISTRIBUTION 16S 0.01 CU IN SERIES SMX CONNECTION SIZE: 1/8IN CONNECTION TYPE: NPT REFERENCE NO: CC16 DROPSA SMX16S
5097,ARC-210291,Misc,EMIT TECHNOLOGIES GASKET TAPE 100 FT LONG X 1-1/2 IN WIDE X 1/8 IN THICK TETRAGLASS WITH PSA EMIT TECHNOLOGIES 56003
5098,ARC-247750,Fitting,PARKER HANNIFIN TUBE CONNECTOR STRAIGHT 3/8 COMP X 1/8 MNPT 316 SS PARKER HANNIFIN 6MSC2N316
5099,ARC-178396,Gasket - Compressor - Misc,ARIEL CORP. GASKET CS ARIEL CORP. A0133
5100,ARC-199487,Gasket - Engine - Misc,CATERPILLAR GASKET KIT CATERPILLAR 6V2982
5101,ARC-186436,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD MT PLATES 98CRO ARIEL CORP. KB1412DD
5102,ARC-186452,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD NYLON PLATES 70RX ARIEL CORP. KB1467S
5103,ARC-233359,Piston - Compressor,GEMINI PISTON COMPRESSOR 4 DIA MOC GEMINI 405040
5104,ARC-233399,Piston - Compressor - Ring,GEMINI RING PISTON 2-1/2 DIA TEFLON COMPRESSOR GEMINI 405130
5105,ARC-169406,Misc,CORDOVA SAFETY PRODUCTS GLOVES CUT RESIST/TACTILE M GREEN/BLACK ELASTIC WRIST CUT LEVEL 5
5106,ARC-182603,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION PEEK PLATES REBUILT ARIEL CORP. B1010N
5107,ARC-215113,Wire - Misc,MURPHY WIRE ELECTRIC COMMUNICATION MURPHY 78000833
5108,ARC-196146,Bearing - Engine - Misc,CATERPILLAR BEARING CATERPILLAR 3285572
5109,ARC-238697,Misc,JATCO FLOAT PIVOT SS ASSEMBLY JATCO JM5004
5110,ARC-201841,Gasket - Misc,CATERPILLAR GASKET PAPER G3406 FOR DRIVE PLATE ACCESSORY CATERPILLAR 9H8872
5111,ARC-216259,Misc,CATERPILLAR SHEAVE 3 CRANKSHAFT CATERPILLAR 3863041
5112,ARC-173135,Misc,COOPER-AJAX STUD THREADED 10-5/8 LG HEAD COOPER-AJAX 104F001108106
5113,ARC-269959,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING DESIGN 470 PSI SET 80 DEG F 0.212 SQ IN 1 MNPT X 2 FNPT WCB CS BODY GLASS FILLED PTFE SEAT 17-4 SS DISC 17-4 SS NOZZLE FLUOROCARBON/BUNA-N SEAL CLOSED CAP 17-7 PH SS SPRING ASME SECTION VIII - DIV 1
5114,ARC-270215,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING DESIGN 330 PSI SET 80 DEG F 0.212 SQ IN 1 MNPT X 2 FNPT WCB CS BODY GLASS FILLED PTFE SEAT 17-4 SS DISC CS 17-4 SS NOZZLE FLUOROCARBON/BUNA-N SEAL CLOSED CAP 17-7 PH SS SPRING ASME SECTION VIII - DIV 1
5116,ARC-231567,Belt,GATES BELT V HEAVY DUTY 1 BAND 71 LG 0.656 TOP WD 0.406 THK B RBR POLYESTER CORD GATES B68
5117,ARC-249034,Misc,SCIENTIFIC LININGS & COATINGS CAP RAIN SLIP FIT 4 NPS YELLOW PVC WITH LANYARD AND ANCHOR RING FOR RELIEF VALVE SCIENTIFIC LININGS & COATINGS WCL4
5118,ARC-228267,Gasket - Misc,FISHER GASKET SEAT METAL FISHER 0W018415042
5119,ARC-261883,Gasket - Engine - Valve Cover,WESCO GASKET COVER VALVE RBR
5121,ARC-186353,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD PEEK PLATES 98RX/98R1 ARIEL CORP. KB1202M
5122,ARC-197189,Gasket - Misc,CATERPILLAR GASKET SHIM CATERPILLAR 4L6706
5124,ARC-199860,Shaft - Engine,CATERPILLAR SHAFT G3306 ROCKER ARM REBUILT
5125,ARC-235188,Gasket - Misc,NONE GASKET SPIRAL WOUND 1-1/2 NPS 300-400-600 CLASS 1/8 THK FLEXIBLE GRAPHITE FILLER 316 SS INNER RING 316 SS WINDING CS GUIDE RING
5126,ARC-217374,Belt,GATES BELT V LIGHT DUTY 1 BAND 79 LG 0.656 TOP WD 0.406 THK B DIENE POLYESTER CORD GATES B76
5127,ARC-168049,Misc,PRECISION PIPING PRODUCTS (P3) COVER FLANGE PROTECTOR 3
5129,ARC-178761,Compressor Valve - Parts,ARIEL CORP. GUARD VALVE SUCTION 88CRO ARIEL CORP. A10009A
5130,ARC-178932,Compressor Valve - Parts,ARIEL CORP. PLATE VALVE SPRING 0.016 THK 42RX ARIEL CORP. A1110
5131,ARC-198726,Seal - Engine,CATERPILLAR SEAL CATERPILLAR 5S2106
5132,ARC-211176,Seal - Misc,ENDYN SEAL WATERE ENDYN BM21042
5133,ARC-181466,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE STL PLATES 52RX REBUILT ARIEL CORP. B0054E
5134,ARC-182717,Compressor Valve - Suction,ARIEL CORP. VALVE COMPRESSOR CYLINDER SUCTION JGA REBUILT ARIEL CORP. B1202L
5135,ARC-270981,Belt,NONE BELT V 1 BAND 0.5 TOP WD A 0450125
5136,ARC-197191,Fitting,CATERPILLAR FITTING TEE CATERPILLAR 4L6725
5137,ARC-258288,Gasket - Misc,WAUKESHA GASKET THERMOSTAT WAUKESHA 304309
5138,ARC-171478,Gasket - Misc,AFTERMARKET GASKET TOP COVER REFERENCE NO: 332-2 AFTERMARKET 1029403
5139,ARC-269958,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING DESIGN 470 PSI SET 0.212 SQ IN 1 MNPT X  1-1/2 FNPT WCB CS BODY GLASS FILLED PTFE SEAT 17-4 SS DISC 17-4 SS NOZZLE FLUOROCARBON/BUNA-N SEAL CLOSED CAP 17-7 PH SS SPRING ASME SECTION VIII - DIV 1
5140,ARC-176859,Adapter - Misc,ALTRONIC ADAPTER OXYGEN SENSOR
5141,ARC-215314,Misc,NONE BOX BATTERY GALV METAL
5142,ARC-268020,Misc,WEATHERHEAD CAP PROTECTIVE RBR
5143,ARC-243362,Misc,MURPHY FLOAT 1-9/16 DIA FOR L1100 AND L1200 BUOYGLAS MURPHY 15000893
5144,ARC-210665,Gasket - Engine - Head,ENDYN GASKET HEAD 2/SET FOR SINGLE REFERENCE NO: SPEC-6805-1X ENDYN A433M1
5145,ARC-193517,Gasket - Engine - Misc,CATERPILLAR KIT GASKET CATERPILLAR 1494913
5146,ARC-212355,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD SUCTION NYX PLATES 98CRE FITS JGET CYLINDERS 8-3/8 ARIEL CORP. KB4928U
5147,ARC-174767,Compressor Valve - Parts,COOPER-AJAX PLATE VALVE 0.062 THK STL COOPER-AJAX K680030
5148,ARC-193388,Seal - Engine,CATERPILLAR SEAL CATERPILLAR 1425868
5149,ARC-182188,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE 98R1 ARIEL CORP. B0366F
5150,ARC-209936,Battery - Dry,DURACELL BATTERY DRY CELL LITHIUM 6VDC
5151,ARC-245113,Controller - Misc,NORRISEAL CONTROLLER CONTROL PNEUMATIC SNAP PILOT LIQUID LEVEL CONTROLLER
5152,ARC-198993,Filter - Air,CATERPILLAR FILTER AIR CATERPILLAR 6I2551
5153,ARC-247812,Misc,PARKER HANNIFIN TUBE UNION ELBOW 90 DEG 1/2 COMP 316 SS
5154,ARC-247804,Misc,PARKER HANNIFIN TUBE UNION TEE 1/2 COMP 316 SS PARKER HANNIFIN 888JBZSS
5155,ARC-182810,Compressor Valve - Discharge,ARIEL CORP. VALVE COMPRESSOR CYLINDER DISCHARGE REBUILT ARIEL CORP. B1277CC
5156,ARC-231004,Actuator,GARZO ACTUATOR
5157,ARC-200398,Gasket - Engine - Misc,CATERPILLAR GASKET WATER LINES GROUP 5-1/2 LG X 2.79 WD X 0.062 THK CATERPILLAR 7N0200
5158,ARC-252835,Hose,THERMOID HOSE RADIATOR 2-3/8 DIA GREEN STRIPE THERMOID BRP5101A237
5159,ARC-186638,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REPAIR MT PLATES 77CT ARIEL CORP. KB1935CC
5160,ARC-245843,Misc,PARKER HANNIFIN LUBRICATOR PNEUMATIC 1-1/2 FNPT MIST FLOW RATE= 260 SCFM MAWP= 250 PSI TEMPERATURE RANGE= 32 TO 175 DEG F NITRILE SEAL WITH SIGHT GAUGE ALUMINUM BODY AND BOWL PARKER HANNIFIN P3NLA9PLSN
5161,ARC-246325,Relay,PHOENIX ELECTRICAL RELAY MINIATURE 24VDC
5163,ARC-239225,Misc,KENCO CAP RADIATOR 2 FNPT 15 PSI PRESSURE RATING KENCO 179415
5164,ARC-176325,Ignition - Coil,ALTRONIC COIL IGNITION INTEGRAL STANDARD ALTRONIC 591011B
5165,ARC-187750,Misc,ARROW ENGINE COVER ROCKER ARM EMISSIONS ARROW ENGINE 217139E
5166,ARC-255677,Gasket - Misc,WAUKESHA GASKET VENTURI WAUKESHA 169998A
5167,ARC-223328,Gasket - Flange,NONE GASKET FLANGE FLAT FACE 20 DIA 150 CLASS 1/8 THK RBR
5168,ARC-172626,Compressor Valve - Rebuild Kit,AFTERMARKET KIT COMPRESSOR VALVE REBUILD DISCHARGE 98R1
5169,ARC-186068,Compressor Valve - Rebuild Kit,ARIEL CORP. KIT COMPRESSOR VALVE REBUILD 52R2/RX ARIEL CORP. KB0253F
5170,ARC-180929,Compressor Valve - Parts,ARIEL CORP. PLATE VALVE SUCTION 0.118 THK 105CRO ARIEL CORP. A7013
5171,ARC-215045,Sensor - Engine - Exhaust,NONE SENSOR ECT E2318000
5172,ARC-168023,Misc,CUMMINS STRAP MOUNTING STL KTA19 AIR CLEANER CUMMINS 197221
5173,ARC-242190,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING DESIGN 1800 PSI SET 1 MNPT X 1 FNPT SS BODY PEEK SEAT 440C SS DISC 17-4 SS NOZZLE VITON/BUNA-N SEAL -20 TO 400 DEG F CLOSED CAP ASME SECTION VIII - DIV 1 MERCER VALVE 9117C61P13C1
5174,ARC-195789,Misc,CATERPILLAR CLAMP TURBOCHARGER CATERPILLAR 2S1304
5175,ARC-211153,Gasket - Engine - Valve Cover,ENDYN GASKET FOR VALVE COVER ENDYN BM1704738
5176,ARC-174558,Head,COOPER-AJAX HEAD CYLINDER ENGINE POWER END REBUILT COOPER-AJAX K4002D
5177,ARC-172619,Compressor Valve - Rebuild Kit,AFTERMARKET KIT COMPRESSOR VALVE REBUILD
5178,ARC-194274,Gasket - Misc,CATERPILLAR GASKET WATER PUMP GROUP 8.219 OD X 0.01 THK CIRCULAR
5179,ARC-248832,Compressor Valve - Rebuild Kit,SAMCO KIT COMPRESSOR VALVE REPAIR DISCHARGE/SUCTION FITS COOPER-AJAX COMPRESSOR FITS YVDS-51 CYLINDERS SAMCO 0109910141
5180,ARC-190080,Misc,BG PIN SHORT BG 212004
5181,ARC-198602,Seal - Engine,CATERPILLAR SEAL O-RING 3.23 ID FKM FLUOROELASTOMER CATERPILLAR 5P5700
5182,ARC-177345,Valve - Ball,APOLLO VALVE VALVE BALL 1/2 FNPT 2000 CLASS FULL PORT TWO-PIECE BODY CS BODY CHROME PLATED BALL 2000 PSI RPTFE SEAL RPTFE SEAT LEVER OPERATED SERIES 73A CV = 9.8 FACE-TO-FACE = 2.31 APOLLO VALVE 73A10301
5183,ARC-201995,Misc,CATERPILLAR KIT REPAIR
5185,ARC-199929,Misc,CATERPILLAR TUBE G3306 CATERPILLAR 7C7926
5186,ARC-210328,Valve - Misc,EMIT TECHNOLOGIES VALVE 3/4 NPT
5187,ARC-168249,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING  1932 PSI SET 302 DEG F 1 MNPT X 1 FNPT SS BODY VIRGIN PEEK SEAT 440C SS DISC CS BONNET 17-4 SS NOZZLE VITON/BUNA-N SEAL -20 TO 400 DEG F CLOSED CAP ASME SECTION VIII - DIV 1 MERCER VALVE 9117C61P13C1
5188,ARC-199189,Misc,CATERPILLAR DIAPHRAGM REGULATOR MEDIUM: GAS CATERPILLAR 6L7143
